Notes,Cause of death,Cause of death Code,Ten-Year Age Groups,Ten-Year Age Groups Code,Deaths,Population,Crude Rate
,Sequelae of other and unspecified cerebrovascular diseases,I69.8,85+ years,85+,3500,6287161,55.7
,Atherosclerosis of aorta,I70.0,45-54 years,45-54,1,43188161,Unreliable
,Atherosclerosis of aorta,I70.0,55-64 years,55-64,3,40877819,Unreliable
,Atherosclerosis of aorta,I70.0,65-74 years,65-74,14,27550517,Unreliable
,Atherosclerosis of aorta,I70.0,75-84 years,75-84,30,13923174,0.2
,Atherosclerosis of aorta,I70.0,85+ years,85+,39,6287161,0.6
,Atherosclerosis of renal artery,I70.1,65-74 years,65-74,3,27550517,Unreliable
,Atherosclerosis of renal artery,I70.1,75-84 years,75-84,6,13923174,Unreliable
,Atherosclerosis of renal artery,I70.1,85+ years,85+,6,6287161,Unreliable
,Atherosclerosis of arteries of extremities,I70.2,35-44 years,35-44,1,40589783,Unreliable
,Atherosclerosis of arteries of extremities,I70.2,45-54 years,45-54,1,43188161,Unreliable
,Atherosclerosis of arteries of extremities,I70.2,55-64 years,55-64,10,40877819,Unreliable
,Atherosclerosis of arteries of extremities,I70.2,65-74 years,65-74,28,27550517,0.1
,Atherosclerosis of arteries of extremities,I70.2,75-84 years,75-84,34,13923174,0.2
,Atherosclerosis of arteries of extremities,I70.2,85+ years,85+,76,6287161,1.2
,Generalized and unspecified atherosclerosis,I70.9,< 1 year,1,5,3978038,Unreliable
,Generalized and unspecified atherosclerosis,I70.9,15-24 years,15-24,1,43848216,Unreliable
,Generalized and unspecified atherosclerosis,I70.9,25-34 years,25-34,7,44137202,Unreliable
,Generalized and unspecified atherosclerosis,I70.9,35-44 years,35-44,21,40589783,0.1
,Generalized and unspecified atherosclerosis,I70.9,45-54 years,45-54,94,43188161,0.2
,Generalized and unspecified atherosclerosis,I70.9,55-64 years,55-64,351,40877819,0.9
,Generalized and unspecified atherosclerosis,I70.9,65-74 years,65-74,696,27550517,2.5
,Generalized and unspecified atherosclerosis,I70.9,75-84 years,75-84,1436,13923174,10.3
,Generalized and unspecified atherosclerosis,I70.9,85+ years,85+,3225,6287161,51.3
,Dissection of aorta [any part],I71.0,< 1 year,1,1,3978038,Unreliable
,Dissection of aorta [any part],I71.0,5-14 years,5-14,3,41109506,Unreliable
,Dissection of aorta [any part],I71.0,15-24 years,15-24,25,43848216,0.1
,Dissection of aorta [any part],I71.0,25-34 years,25-34,99,44137202,0.2
,Dissection of aorta [any part],I71.0,35-44 years,35-44,260,40589783,0.6
,Dissection of aorta [any part],I71.0,45-54 years,45-54,450,43188161,1
,Dissection of aorta [any part],I71.0,55-64 years,55-64,692,40877819,1.7
,Dissection of aorta [any part],I71.0,65-74 years,65-74,641,27550517,2.3
,Dissection of aorta [any part],I71.0,75-84 years,75-84,651,13923174,4.7
,Dissection of aorta [any part],I71.0,85+ years,85+,546,6287161,8.7
,"Thoracic aortic aneurysm, ruptured",I71.1,15-24 years,15-24,2,43848216,Unreliable
,"Thoracic aortic aneurysm, ruptured",I71.1,25-34 years,25-34,9,44137202,Unreliable
,"Thoracic aortic aneurysm, ruptured",I71.1,35-44 years,35-44,15,40589783,Unreliable
,"Thoracic aortic aneurysm, ruptured",I71.1,45-54 years,45-54,47,43188161,0.1
,"Thoracic aortic aneurysm, ruptured",I71.1,55-64 years,55-64,67,40877819,0.2
,"Thoracic aortic aneurysm, ruptured",I71.1,65-74 years,65-74,109,27550517,0.4
,"Thoracic aortic aneurysm, ruptured",I71.1,75-84 years,75-84,165,13923174,1.2
,"Thoracic aortic aneurysm, ruptured",I71.1,85+ years,85+,159,6287161,2.5
,"Thoracic aortic aneurysm, without mention of rupture",I71.2,25-34 years,25-34,3,44137202,Unreliable
,"Thoracic aortic aneurysm, without mention of rupture",I71.2,35-44 years,35-44,8,40589783,Unreliable
,"Thoracic aortic aneurysm, without mention of rupture",I71.2,45-54 years,45-54,17,43188161,Unreliable
,"Thoracic aortic aneurysm, without mention of rupture",I71.2,55-64 years,55-64,29,40877819,0.1
,"Thoracic aortic aneurysm, without mention of rupture",I71.2,65-74 years,65-74,83,27550517,0.3
,"Thoracic aortic aneurysm, without mention of rupture",I71.2,75-84 years,75-84,177,13923174,1.3
,"Thoracic aortic aneurysm, without mention of rupture",I71.2,85+ years,85+,144,6287161,2.3
,"Abdominal aortic aneurysm, ruptured",I71.3,35-44 years,35-44,4,40589783,Unreliable
,"Abdominal aortic aneurysm, ruptured",I71.3,45-54 years,45-54,33,43188161,0.1
,"Abdominal aortic aneurysm, ruptured",I71.3,55-64 years,55-64,272,40877819,0.7
,"Abdominal aortic aneurysm, ruptured",I71.3,65-74 years,65-74,620,27550517,2.3
,"Abdominal aortic aneurysm, ruptured",I71.3,75-84 years,75-84,753,13923174,5.4
,"Abdominal aortic aneurysm, ruptured",I71.3,85+ years,85+,764,6287161,12.2
,"Abdominal aortic aneurysm, without mention of rupture",I71.4,25-34 years,25-34,1,44137202,Unreliable
,"Abdominal aortic aneurysm, without mention of rupture",I71.4,35-44 years,35-44,4,40589783,Unreliable
,"Abdominal aortic aneurysm, without mention of rupture",I71.4,45-54 years,45-54,13,43188161,Unreliable
,"Abdominal aortic aneurysm, without mention of rupture",I71.4,55-64 years,55-64,86,40877819,0.2
,"Abdominal aortic aneurysm, without mention of rupture",I71.4,65-74 years,65-74,276,27550517,1
,"Abdominal aortic aneurysm, without mention of rupture",I71.4,75-84 years,75-84,485,13923174,3.5
,"Abdominal aortic aneurysm, without mention of rupture",I71.4,85+ years,85+,561,6287161,8.9
,"Thoracoabdominal aortic aneurysm, ruptured",I71.5,5-14 years,5-14,1,41109506,Unreliable
,"Thoracoabdominal aortic aneurysm, ruptured",I71.5,45-54 years,45-54,3,43188161,Unreliable
,"Thoracoabdominal aortic aneurysm, ruptured",I71.5,55-64 years,55-64,5,40877819,Unreliable
,"Thoracoabdominal aortic aneurysm, ruptured",I71.5,65-74 years,65-74,20,27550517,0.1
,"Thoracoabdominal aortic aneurysm, ruptured",I71.5,75-84 years,75-84,31,13923174,0.2
,"Thoracoabdominal aortic aneurysm, ruptured",I71.5,85+ years,85+,12,6287161,Unreliable
,"Thoracoabdominal aortic aneurysm, without mention of rupture",I71.6,35-44 years,35-44,1,40589783,Unreliable
,"Thoracoabdominal aortic aneurysm, without mention of rupture",I71.6,45-54 years,45-54,4,43188161,Unreliable
,"Thoracoabdominal aortic aneurysm, without mention of rupture",I71.6,55-64 years,55-64,16,40877819,Unreliable
,"Thoracoabdominal aortic aneurysm, without mention of rupture",I71.6,65-74 years,65-74,45,27550517,0.2
,"Thoracoabdominal aortic aneurysm, without mention of rupture",I71.6,75-84 years,75-84,41,13923174,0.3
,"Thoracoabdominal aortic aneurysm, without mention of rupture",I71.6,85+ years,85+,11,6287161,Unreliable
,"Aortic aneurysm of unspecified site, ruptured",I71.8,15-24 years,15-24,3,43848216,Unreliable
,"Aortic aneurysm of unspecified site, ruptured",I71.8,25-34 years,25-34,8,44137202,Unreliable
,"Aortic aneurysm of unspecified site, ruptured",I71.8,35-44 years,35-44,21,40589783,0.1
,"Aortic aneurysm of unspecified site, ruptured",I71.8,45-54 years,45-54,29,43188161,0.1
,"Aortic aneurysm of unspecified site, ruptured",I71.8,55-64 years,55-64,81,40877819,0.2
,"Aortic aneurysm of unspecified site, ruptured",I71.8,65-74 years,65-74,183,27550517,0.7
,"Aortic aneurysm of unspecified site, ruptured",I71.8,75-84 years,75-84,280,13923174,2
,"Aortic aneurysm of unspecified site, ruptured",I71.8,85+ years,85+,295,6287161,4.7
,"Aortic aneurysm of unspecified site, without mention of rupture",I71.9,15-24 years,15-24,3,43848216,Unreliable
,"Aortic aneurysm of unspecified site, without mention of rupture",I71.9,25-34 years,25-34,4,44137202,Unreliable
,"Aortic aneurysm of unspecified site, without mention of rupture",I71.9,35-44 years,35-44,9,40589783,Unreliable
,"Aortic aneurysm of unspecified site, without mention of rupture",I71.9,45-54 years,45-54,24,43188161,0.1
,"Aortic aneurysm of unspecified site, without mention of rupture",I71.9,55-64 years,55-64,74,40877819,0.2
,"Aortic aneurysm of unspecified site, without mention of rupture",I71.9,65-74 years,65-74,145,27550517,0.5
,"Aortic aneurysm of unspecified site, without mention of rupture",I71.9,75-84 years,75-84,186,13923174,1.3
,"Aortic aneurysm of unspecified site, without mention of rupture",I71.9,85+ years,85+,179,6287161,2.8
,Aneurysm of carotid artery,I72.0,35-44 years,35-44,3,40589783,Unreliable
,Aneurysm of carotid artery,I72.0,45-54 years,45-54,4,43188161,Unreliable
,Aneurysm of carotid artery,I72.0,55-64 years,55-64,5,40877819,Unreliable
,Aneurysm of carotid artery,I72.0,65-74 years,65-74,7,27550517,Unreliable
,Aneurysm of carotid artery,I72.0,75-84 years,75-84,5,13923174,Unreliable
,Aneurysm of carotid artery,I72.0,85+ years,85+,8,6287161,Unreliable
,Aneurysm of renal artery,I72.2,35-44 years,35-44,2,40589783,Unreliable
,Aneurysm of renal artery,I72.2,45-54 years,45-54,2,43188161,Unreliable
,Aneurysm of renal artery,I72.2,55-64 years,55-64,6,40877819,Unreliable
,Aneurysm of renal artery,I72.2,65-74 years,65-74,5,27550517,Unreliable
,Aneurysm of renal artery,I72.2,75-84 years,75-84,9,13923174,Unreliable
,Aneurysm of renal artery,I72.2,85+ years,85+,10,6287161,Unreliable
,Aneurysm of iliac artery,I72.3,45-54 years,45-54,4,43188161,Unreliable
,Aneurysm of iliac artery,I72.3,55-64 years,55-64,10,40877819,Unreliable
,Aneurysm of iliac artery,I72.3,65-74 years,65-74,21,27550517,0.1
,Aneurysm of iliac artery,I72.3,75-84 years,75-84,35,13923174,0.3
,Aneurysm of iliac artery,I72.3,85+ years,85+,15,6287161,Unreliable
,Aneurysm of artery of lower extremity,I72.4,25-34 years,25-34,1,44137202,Unreliable
,Aneurysm of artery of lower extremity,I72.4,45-54 years,45-54,1,43188161,Unreliable
,Aneurysm of artery of lower extremity,I72.4,55-64 years,55-64,3,40877819,Unreliable
,Aneurysm of artery of lower extremity,I72.4,65-74 years,65-74,9,27550517,Unreliable
,Aneurysm of artery of lower extremity,I72.4,75-84 years,75-84,11,13923174,Unreliable
,Aneurysm of artery of lower extremity,I72.4,85+ years,85+,10,6287161,Unreliable
,Aneurysm and dissection of other precerebral arteries,I72.5,15-24 years,15-24,1,43848216,Unreliable
,Aneurysm and dissection of other precerebral arteries,I72.5,25-34 years,25-34,3,44137202,Unreliable
,Aneurysm and dissection of other precerebral arteries,I72.5,35-44 years,35-44,5,40589783,Unreliable
,Aneurysm and dissection of other precerebral arteries,I72.5,45-54 years,45-54,9,43188161,Unreliable
,Aneurysm and dissection of other precerebral arteries,I72.5,55-64 years,55-64,11,40877819,Unreliable
,Aneurysm and dissection of other precerebral arteries,I72.5,65-74 years,65-74,6,27550517,Unreliable
,Aneurysm and dissection of other precerebral arteries,I72.5,75-84 years,75-84,8,13923174,Unreliable
,Aneurysm of other specified arteries,I72.8,< 1 year,1,1,3978038,Unreliable
,Aneurysm of other specified arteries,I72.8,15-24 years,15-24,1,43848216,Unreliable
,Aneurysm of other specified arteries,I72.8,25-34 years,25-34,3,44137202,Unreliable
,Aneurysm of other specified arteries,I72.8,35-44 years,35-44,4,40589783,Unreliable
,Aneurysm of other specified arteries,I72.8,45-54 years,45-54,16,43188161,Unreliable
,Aneurysm of other specified arteries,I72.8,55-64 years,55-64,23,40877819,0.1
,Aneurysm of other specified arteries,I72.8,65-74 years,65-74,19,27550517,Unreliable
,Aneurysm of other specified arteries,I72.8,75-84 years,75-84,11,13923174,Unreliable
,Aneurysm of other specified arteries,I72.8,85+ years,85+,10,6287161,Unreliable
,Aneurysm of unspecified site,I72.9,1-4 years,1-4,1,15929243,Unreliable
,Aneurysm of unspecified site,I72.9,15-24 years,15-24,2,43848216,Unreliable
,Aneurysm of unspecified site,I72.9,25-34 years,25-34,7,44137202,Unreliable
,Aneurysm of unspecified site,I72.9,35-44 years,35-44,28,40589783,0.1
,Aneurysm of unspecified site,I72.9,45-54 years,45-54,33,43188161,0.1
,Aneurysm of unspecified site,I72.9,55-64 years,55-64,61,40877819,0.1
,Aneurysm of unspecified site,I72.9,65-74 years,65-74,87,27550517,0.3
,Aneurysm of unspecified site,I72.9,75-84 years,75-84,69,13923174,0.5
,Aneurysm of unspecified site,I72.9,85+ years,85+,61,6287161,1
,Raynaud's syndrome,I73.0,25-34 years,25-34,1,44137202,Unreliable
,Raynaud's syndrome,I73.0,35-44 years,35-44,1,40589783,Unreliable
,Raynaud's syndrome,I73.0,55-64 years,55-64,1,40877819,Unreliable
,Raynaud's syndrome,I73.0,65-74 years,65-74,5,27550517,Unreliable
,Raynaud's syndrome,I73.0,75-84 years,75-84,2,13923174,Unreliable
,Raynaud's syndrome,I73.0,85+ years,85+,5,6287161,Unreliable
,Thromboangiitis obliterans [Buerger],I73.1,35-44 years,35-44,2,40589783,Unreliable
,Thromboangiitis obliterans [Buerger],I73.1,45-54 years,45-54,9,43188161,Unreliable
,Thromboangiitis obliterans [Buerger],I73.1,55-64 years,55-64,9,40877819,Unreliable
,Thromboangiitis obliterans [Buerger],I73.1,65-74 years,65-74,4,27550517,Unreliable
,Other specified peripheral vascular diseases,I73.8,45-54 years,45-54,1,43188161,Unreliable
,Other specified peripheral vascular diseases,I73.8,55-64 years,55-64,1,40877819,Unreliable
,Other specified peripheral vascular diseases,I73.8,65-74 years,65-74,4,27550517,Unreliable
,Other specified peripheral vascular diseases,I73.8,75-84 years,75-84,7,13923174,Unreliable
,Other specified peripheral vascular diseases,I73.8,85+ years,85+,10,6287161,Unreliable
,"Peripheral vascular disease, unspecified",I73.9,< 1 year,1,2,3978038,Unreliable
,"Peripheral vascular disease, unspecified",I73.9,15-24 years,15-24,1,43848216,Unreliable
,"Peripheral vascular disease, unspecified",I73.9,25-34 years,25-34,5,44137202,Unreliable
,"Peripheral vascular disease, unspecified",I73.9,35-44 years,35-44,26,40589783,0.1
,"Peripheral vascular disease, unspecified",I73.9,45-54 years,45-54,164,43188161,0.4
,"Peripheral vascular disease, unspecified",I73.9,55-64 years,55-64,701,40877819,1.7
,"Peripheral vascular disease, unspecified",I73.9,65-74 years,65-74,1314,27550517,4.8
,"Peripheral vascular disease, unspecified",I73.9,75-84 years,75-84,1947,13923174,14
,"Peripheral vascular disease, unspecified",I73.9,85+ years,85+,3109,6287161,49.4
,Embolism and thrombosis of abdominal aorta,I74.0,45-54 years,45-54,2,43188161,Unreliable
,Embolism and thrombosis of abdominal aorta,I74.0,55-64 years,55-64,5,40877819,Unreliable
,Embolism and thrombosis of abdominal aorta,I74.0,65-74 years,65-74,12,27550517,Unreliable
,Embolism and thrombosis of abdominal aorta,I74.0,75-84 years,75-84,6,13923174,Unreliable
,Embolism and thrombosis of abdominal aorta,I74.0,85+ years,85+,9,6287161,Unreliable
,Embolism and thrombosis of other and unspecified parts of aorta,I74.1,< 1 year,1,3,3978038,Unreliable
,Embolism and thrombosis of other and unspecified parts of aorta,I74.1,25-34 years,25-34,1,44137202,Unreliable
,Embolism and thrombosis of other and unspecified parts of aorta,I74.1,35-44 years,35-44,2,40589783,Unreliable
,Embolism and thrombosis of other and unspecified parts of aorta,I74.1,45-54 years,45-54,12,43188161,Unreliable
,Embolism and thrombosis of other and unspecified parts of aorta,I74.1,55-64 years,55-64,19,40877819,Unreliable
,Embolism and thrombosis of other and unspecified parts of aorta,I74.1,65-74 years,65-74,37,27550517,0.1
,Embolism and thrombosis of other and unspecified parts of aorta,I74.1,75-84 years,75-84,28,13923174,0.2
,Embolism and thrombosis of other and unspecified parts of aorta,I74.1,85+ years,85+,30,6287161,0.5
,Embolism and thrombosis of arteries of upper extremities,I74.2,55-64 years,55-64,1,40877819,Unreliable
,Embolism and thrombosis of arteries of lower extremities,I74.3,15-24 years,15-24,1,43848216,Unreliable
,Embolism and thrombosis of arteries of lower extremities,I74.3,35-44 years,35-44,3,40589783,Unreliable
,Embolism and thrombosis of arteries of lower extremities,I74.3,45-54 years,45-54,2,43188161,Unreliable
,Embolism and thrombosis of arteries of lower extremities,I74.3,55-64 years,55-64,6,40877819,Unreliable
,Embolism and thrombosis of arteries of lower extremities,I74.3,65-74 years,65-74,10,27550517,Unreliable
,Embolism and thrombosis of arteries of lower extremities,I74.3,75-84 years,75-84,7,13923174,Unreliable
,Embolism and thrombosis of arteries of lower extremities,I74.3,85+ years,85+,43,6287161,0.7
,"Embolism and thrombosis of arteries of extremities, unspecified",I74.4,55-64 years,55-64,3,40877819,Unreliable
,"Embolism and thrombosis of arteries of extremities, unspecified",I74.4,65-74 years,65-74,1,27550517,Unreliable
,"Embolism and thrombosis of arteries of extremities, unspecified",I74.4,75-84 years,75-84,4,13923174,Unreliable
,"Embolism and thrombosis of arteries of extremities, unspecified",I74.4,85+ years,85+,6,6287161,Unreliable
,Embolism and thrombosis of iliac artery,I74.5,55-64 years,55-64,1,40877819,Unreliable
,Embolism and thrombosis of iliac artery,I74.5,65-74 years,65-74,8,27550517,Unreliable
,Embolism and thrombosis of iliac artery,I74.5,75-84 years,75-84,3,13923174,Unreliable
,Embolism and thrombosis of iliac artery,I74.5,85+ years,85+,5,6287161,Unreliable
,Embolism and thrombosis of other arteries,I74.8,25-34 years,25-34,2,44137202,Unreliable
,Embolism and thrombosis of other arteries,I74.8,35-44 years,35-44,3,40589783,Unreliable
,Embolism and thrombosis of other arteries,I74.8,45-54 years,45-54,6,43188161,Unreliable
,Embolism and thrombosis of other arteries,I74.8,55-64 years,55-64,9,40877819,Unreliable
,Embolism and thrombosis of other arteries,I74.8,65-74 years,65-74,4,27550517,Unreliable
,Embolism and thrombosis of other arteries,I74.8,75-84 years,75-84,10,13923174,Unreliable
,Embolism and thrombosis of other arteries,I74.8,85+ years,85+,5,6287161,Unreliable
,Embolism and thrombosis of unspecified artery,I74.9,< 1 year,1,1,3978038,Unreliable
,Embolism and thrombosis of unspecified artery,I74.9,25-34 years,25-34,5,44137202,Unreliable
,Embolism and thrombosis of unspecified artery,I74.9,35-44 years,35-44,8,40589783,Unreliable
,Embolism and thrombosis of unspecified artery,I74.9,45-54 years,45-54,15,43188161,Unreliable
,Embolism and thrombosis of unspecified artery,I74.9,55-64 years,55-64,36,40877819,0.1
,Embolism and thrombosis of unspecified artery,I74.9,65-74 years,65-74,78,27550517,0.3
